TransactionID,Date,PropertyID,PropertyName,PropertyType,LocationID,Address,City,State,ZipCode,SquareFeet,YearBuilt,SalePrice,AgentID,AgentName
4450,2023-07-01,17,Property_166,Land,67,3786 Maple St,Philadelphia,PA,20871,8596,1936,200276,15,Mary Garcia
7865,2023-07-01,34,Property_246,Residential,110,7737 8th Ave,San Diego,CA,64702,4932,1998,212753,37,Robert Miller
5736,2023-07-01,450,Property_340,Commercial,17,5956 Cedar St,San Antonio,TX,75720,6185,1937,569740,12,William Jones
5184,2023-07-01,276,Property_449,Land,9,540 Maple St,Los Angeles,CA,75625,583,2022,190132,85,Michael Garcia
6732,2023-07-01,156,Property_386,Residential,46,850 Main St,San Antonio,TX,38503,6912,1956,725459,58,William Miller
4689,2023-07-01,276,Property_67,Commercial,125,624 Oak St,San Jose,CA,66248,7899,1973,229855,64,Linda Davis
8635,2023-07-01,330,Property_166,Land,176,6531 2nd St,San Antonio,TX,55751,5791,1906,430700,43,Patricia Williams
8663,2023-07-01,95,Property_57,Residential,54,8201 Main St,Dallas,TX,79577,3651,2003,167738,43,Elizabeth Brown
7363,2023-07-01,261,Property_500,Land,152,7831 Oak St,Phoenix,AZ,23992,507,2020,834692,13,James Williams
2825,2023-07-01,301,Property_118,Residential,53,2899 Main St,San Diego,CA,16642,5901,2001,760835,7,Linda Davis
6365,2023-07-01,262,Property_391,Commercial,176,1839 8th Ave,Los Angeles,CA,11667,7745,1946,601633,76,Elizabeth Jones
4815,2023-07-01,6,Property_500,Residential,45,1169 Oak St,San Jose,CA,44743,3237,1903,716094,60,Robert Miller
8008,2023-07-01,290,Property_185,Land,116,6371 Cedar St,San Antonio,TX,25147,1318,1935,759496,88,Robert Davis
2845,2023-07-01,488,Property_143,Residential,183,5373 Cedar St,San Diego,CA,91926,3446,1911,963499,58,John Smith
632,2023-07-01,81,Property_187,Residential,26,6318 Sunset Blvd,San Diego,CA,30548,3330,1961,782855,17,Elizabeth Garcia
9754,2023-07-01,492,Property_21,Land,189,1891 Oak St,Chicago,IL,62057,4575,1986,964785,1,William Miller
7332,2023-07-01,9,Property_95,Commercial,113,2714 Cedar St,San Diego,CA,54627,8137,2015,451998,24,Mary Brown
1189,2023-07-01,183,Property_122,Residential,37,4795 Main St,Philadelphia,PA,84727,5266,2011,746331,40,John Davis
4895,2023-07-01,289,Property_334,Commercial,10,3130 Cedar St,San Diego,CA,24182,3272,1900,741482,94,Patricia Smith
